id,client_send,client_rcv
1,1597935812.000298,1597935812.135354
2,1597935812.135453,1597935812.272221
3,1597935812.272316,1597935812.409002
4,1597935812.409284,1597935812.544212
5,1597935812.544302,1597935812.680988
6,1597935812.681098,1597935812.816981
7,1597935812.817262,1597935812.952982
8,1597935812.953092,1597935813.089354
9,1597935813.089448,1597935813.22585
10,1597935813.22596,1597935813.364198
11,1597935813.364288,1597935813.499527
12,1597935813.49962,1597935813.637065
13,1597935813.637159,1597935813.77327
14,1597935813.773365,1597935813.911394
15,1597935813.911493,1597935814.047504
16,1597935814.047595,1597935814.184177
17,1597935814.184279,1597935814.321759
18,1597935814.321855,1597935814.459465
19,1597935814.459558,1597935814.601797
20,1597935814.601939,1597935814.737749
21,1597935814.737843,1597935814.873734
22,1597935814.87383,1597935815.010501
23,1597935815.0106,1597935815.144888
24,1597935815.144979,1597935815.282495
25,1597935815.282592,1597935815.417738
26,1597935815.417832,1597935815.553086
27,1597935815.55319,1597935815.691355
28,1597935815.691451,1597935815.827324
29,1597935815.827418,1597935815.96335
30,1597935815.96344,1597935816.09933
31,1597935816.099422,1597935816.235355
32,1597935816.235445,1597935816.369836
33,1597935816.369965,1597935816.507385
34,1597935816.50748,1597935816.645007
35,1597935816.645097,1597935816.780205
36,1597935816.780297,1597935816.916093
37,1597935816.916187,1597935817.051346
38,1597935817.051494,1597935817.188111
39,1597935817.188209,1597935817.325706
40,1597935817.325798,1597935817.460877
41,1597935817.460973,1597935817.59694
42,1597935817.597041,1597935817.734553
43,1597935817.734646,1597935817.86976
