id,client_send,client_rcv
1,1597936813.328817,1597936813.455049
2,1597936813.455148,1597936813.58308
3,1597936813.583172,1597936813.709525
4,1597936813.70962,1597936813.837461
5,1597936813.837556,1597936813.96301
6,1597936813.963102,1597936814.090318
7,1597936814.090414,1597936814.216681
8,1597936814.216838,1597936814.344774
9,1597936814.344862,1597936814.472676
10,1597936814.47277,1597936814.602344
11,1597936814.602439,1597936814.727827
12,1597936814.727918,1597936814.855845
13,1597936814.855936,1597936814.98232
14,1597936814.982414,1597936815.110337
15,1597936815.110494,1597936815.23674
16,1597936815.236831,1597936815.364818
17,1597936815.364909,1597936815.491092
18,1597936815.491184,1597936815.616675
19,1597936815.616768,1597936815.743071
20,1597936815.743156,1597936815.871057
21,1597936815.871152,1597936815.999091
22,1597936815.999186,1597936816.126513
23,1597936816.126604,1597936816.254282
24,1597936816.254377,1597936816.380724
25,1597936816.380817,1597936816.505475
26,1597936816.505562,1597936816.63349
27,1597936816.633585,1597936816.760687
28,1597936816.760782,1597936816.886255
29,1597936816.886347,1597936817.011338
30,1597936817.011466,1597936817.138335
31,1597936817.138427,1597936817.264933
32,1597936817.265027,1597936817.390324
33,1597936817.39042,1597936817.51757
34,1597936817.517659,1597936817.643066
35,1597936817.643159,1597936817.768739
36,1597936817.76883,1597936817.901565
37,1597936817.901657,1597936818.028765
38,1597936818.028858,1597936818.155336
39,1597936818.155484,1597936818.283992
40,1597936818.28408,1597936818.411944
41,1597936818.412037,1597936818.537497
42,1597936818.537588,1597936818.663172
43,1597936818.663262,1597936818.791215
44,1597936818.791316,1597936818.919873
45,1597936818.919965,1597936819.047148
