id,client_send,client_rcv
1,1597936113.716503,1597936113.851796
2,1597936113.851886,1597936113.987588
3,1597936113.987683,1597936114.126635
4,1597936114.126727,1597936114.261978
5,1597936114.262073,1597936114.39972
6,1597936114.399813,1597936114.536566
7,1597936114.53666,1597936114.674044
8,1597936114.674132,1597936114.810837
9,1597936114.81093,1597936114.946027
10,1597936114.946129,1597936115.082836
11,1597936115.082929,1597936115.219515
12,1597936115.219609,1597936115.35716
13,1597936115.357257,1597936115.493204
14,1597936115.493326,1597936115.630291
15,1597936115.630526,1597936115.766094
16,1597936115.766187,1597936115.903662
17,1597936115.903757,1597936116.041897
18,1597936116.041991,1597936116.17736
19,1597936116.177452,1597936116.312502
20,1597936116.312596,1597936116.448329
21,1597936116.44842,1597936116.585901
22,1597936116.58599,1597936116.721233
23,1597936116.721329,1597936116.857922
24,1597936116.858015,1597936116.993394
25,1597936116.993489,1597936117.12992
26,1597936117.130015,1597936117.266925
27,1597936117.26702,1597936117.401927
28,1597936117.402025,1597936117.539042
29,1597936117.539132,1597936117.67643
30,1597936117.676524,1597936117.813214
31,1597936117.813304,1597936117.94998
32,1597936117.950072,1597936118.086701
33,1597936118.086793,1597936118.22364
34,1597936118.223732,1597936118.361294
35,1597936118.361386,1597936118.498808
36,1597936118.4989,1597936118.635484
37,1597936118.635577,1597936118.770836
38,1597936118.770934,1597936118.906832
39,1597936118.906931,1597936119.042798
40,1597936119.042894,1597936119.178035
41,1597936119.17814,1597936119.314833
42,1597936119.314921,1597936119.451556
43,1597936119.451651,1597936119.589273
44,1597936119.589366,1597936119.725972
45,1597936119.726064,1597936119.864364
46,1597936119.864461,1597936120.001291
47,1597936120.001382,1597936120.136338
