id,client_send,client_rcv
1,1597936850.170546,1597936850.305481
2,1597936850.305575,1597936850.443065
3,1597936850.443154,1597936850.579214
4,1597936850.579305,1597936850.715864
5,1597936850.715952,1597936850.853643
6,1597936850.853729,1597936850.991165
7,1597936850.991253,1597936851.125467
8,1597936851.125554,1597936851.268038
9,1597936851.268124,1597936851.405656
10,1597936851.405755,1597936851.542285
11,1597936851.542381,1597936851.679891
12,1597936851.680011,1597936851.81595
13,1597936851.816064,1597936851.951079
14,1597936851.951177,1597936852.087938
15,1597936852.088038,1597936852.226007
16,1597936852.226095,1597936852.361647
17,1597936852.361743,1597936852.500038
18,1597936852.500126,1597936852.63582
19,1597936852.635913,1597936852.773427
20,1597936852.773515,1597936852.911857
21,1597936852.911948,1597936853.043859
22,1597936853.043954,1597936853.178573
23,1597936853.178661,1597936853.316627
24,1597936853.316716,1597936853.454285
25,1597936853.454384,1597936853.589498
26,1597936853.589586,1597936853.726264
27,1597936853.726352,1597936853.865498
28,1597936853.865607,1597936854.001447
29,1597936854.001547,1597936854.138441
30,1597936854.138541,1597936854.276055
31,1597936854.276144,1597936854.411035
32,1597936854.411127,1597936854.548044
33,1597936854.548133,1597936854.683951
34,1597936854.684086,1597936854.81914
35,1597936854.819229,1597936854.954308
36,1597936854.954405,1597936855.093461
37,1597936855.093551,1597936855.23112
38,1597936855.23121,1597936855.366385
39,1597936855.366489,1597936855.503952
40,1597936855.504055,1597936855.641538
41,1597936855.641627,1597936855.779118
