id,server_rcv,server_send
1,1597936145.232121,1597936145.23214
2,1597936145.370474,1597936145.370494
3,1597936145.506362,1597936145.506381
4,1597936145.642562,1597936145.642582
5,1597936145.781577,1597936145.781585
6,1597936145.918178,1597936145.918196
7,1597936146.055452,1597936146.05546
8,1597936146.192112,1597936146.192133
9,1597936146.32944,1597936146.32945
10,1597936146.465152,1597936146.465161
11,1597936146.601281,1597936146.601289
12,1597936146.738625,1597936146.738634
13,1597936146.875852,1597936146.87587
14,1597936147.010844,1597936147.010863
15,1597936147.148845,1597936147.148861
16,1597936147.28609,1597936147.2861
17,1597936147.423997,1597936147.424015
18,1597936147.559758,1597936147.559777
19,1597936147.697391,1597936147.69741
20,1597936147.838825,1597936147.838844
21,1597936147.974408,1597936147.974426
22,1597936148.110977,1597936148.110984
23,1597936148.24845,1597936148.248468
24,1597936148.38635,1597936148.386368
25,1597936148.522692,1597936148.52271
26,1597936148.658428,1597936148.658448
27,1597936148.795004,1597936148.795014
28,1597936148.930923,1597936148.930943
29,1597936149.073077,1597936149.073085
30,1597936149.211164,1597936149.211182
31,1597936149.358754,1597936149.35877
32,1597936149.496136,1597936149.496159
33,1597936149.630798,1597936149.630817
34,1597936149.767283,1597936149.767292
35,1597936149.902189,1597936149.902205
36,1597936150.038085,1597936150.038093
37,1597936150.17536,1597936150.175375
38,1597936150.311716,1597936150.311725
39,1597936150.448924,1597936150.448939
40,1597936150.58585,1597936150.585867
41,1597936150.720948,1597936150.720964
42,1597936150.858163,1597936150.858178
43,1597936150.993612,1597936150.993629
44,1597936151.130954,1597936151.130972
45,1597936151.268255,1597936151.268263
46,1597936151.40527,1597936151.405287
47,1597936151.542172,1597936151.542179
48,1597936151.678031,1597936151.678038
49,1597936151.815865,1597936151.815873
50,1597936151.951673,1597936151.951689
51,1597936152.089899,1597936152.089906
52,1597936152.226019,1597936152.226035
53,1597936152.362702,1597936152.362717
54,1597936152.498845,1597936152.498863
55,1597936152.634952,1597936152.634969
56,1597936152.772415,1597936152.772432
57,1597936152.910562,1597936152.91058
58,1597936153.047477,1597936153.047487
59,1597936153.182912,1597936153.182928
60,1597936153.319119,1597936153.319127
61,1597936153.457474,1597936153.45749
62,1597936153.592415,1597936153.592429
63,1597936153.729996,1597936153.730013
64,1597936153.866095,1597936153.866112
65,1597936154.002841,1597936154.002862
66,1597936154.140673,1597936154.140682
67,1597936154.276386,1597936154.276408
68,1597936154.414061,1597936154.414081
69,1597936154.551003,1597936154.551014
70,1597936154.690448,1597936154.690467
71,1597936154.82639,1597936154.826399
72,1597936154.964103,1597936154.964122
73,1597936155.10016,1597936155.100168
74,1597936155.234985,1597936155.235003
75,1597936155.370463,1597936155.37048
76,1597936155.506714,1597936155.506732
77,1597936155.642594,1597936155.64261
78,1597936155.781883,1597936155.7819
