id,server_rcv,server_send
1,1597935798.994535,1597935798.994558
2,1597935799.130773,1597935799.13079
3,1597935799.27005,1597935799.270069
4,1597935799.406807,1597935799.406825
5,1597935799.542637,1597935799.542655
6,1597935799.678269,1597935799.678276
7,1597935799.81469,1597935799.814709
8,1597935799.954231,1597935799.954283
9,1597935800.092827,1597935800.092834
10,1597935800.229536,1597935800.229555
11,1597935800.364968,1597935800.364985
12,1597935800.501998,1597935800.502016
13,1597935800.638499,1597935800.638517
14,1597935800.775545,1597935800.775563
15,1597935800.911352,1597935800.911371
16,1597935801.047164,1597935801.047175
17,1597935801.18346,1597935801.18347
18,1597935801.320499,1597935801.320508
19,1597935801.455085,1597935801.455092
20,1597935801.590553,1597935801.590571
21,1597935801.730078,1597935801.730091
22,1597935801.872034,1597935801.872051
23,1597935802.008752,1597935802.008767
24,1597935802.143918,1597935802.143938
25,1597935802.280241,1597935802.28025
26,1597935802.417267,1597935802.417286
27,1597935802.55942,1597935802.559438
28,1597935802.694332,1597935802.694339
29,1597935802.831273,1597935802.831293
30,1597935802.968961,1597935802.968968
31,1597935803.105938,1597935803.105946
32,1597935803.243259,1597935803.243266
33,1597935803.379215,1597935803.379237
34,1597935803.516722,1597935803.51674
35,1597935803.652644,1597935803.652661
36,1597935803.788538,1597935803.788556
37,1597935803.925087,1597935803.925105
