id,client_send,client_rcv
1,1597933474.609298,1597933474.739593
2,1597933474.739684,1597933474.869198
3,1597933474.869298,1597933474.996351
4,1597933474.99645,1597933475.125147
5,1597933475.125239,1597933475.258155
6,1597933475.258257,1597933475.388283
7,1597933475.388372,1597933475.518881
8,1597933475.518975,1597933475.647506
9,1597933475.647598,1597933475.777181
10,1597933475.77727,1597933475.906044
11,1597933475.906144,1597933476.036368
12,1597933476.036458,1597933476.165182
13,1597933476.16527,1597933476.30607
