id,client_send,client_rcv
1,1597934142.428434,1597934142.566288
2,1597934142.566376,1597934142.704432
3,1597934142.704527,1597934142.841193
4,1597934142.841287,1597934142.980403
5,1597934142.980496,1597934143.118856
6,1597934143.118953,1597934143.256457
7,1597934143.256549,1597934143.397269
8,1597934143.397366,1597934143.5349
9,1597934143.53499,1597934143.673164
10,1597934143.673256,1597934143.821351
11,1597934143.82144,1597934143.964367
12,1597934143.964455,1597934144.107001
13,1597934144.107094,1597934144.24441
