id,client_send,client_rcv
1,1597933875.670921,1597933875.808346
2,1597933875.808434,1597933875.946888
3,1597933875.94698,1597933876.086011
4,1597933876.086101,1597933876.224334
5,1597933876.224424,1597933876.361893
6,1597933876.361984,1597933876.501192
7,1597933876.501282,1597933876.639578
8,1597933876.639698,1597933876.776367
9,1597933876.776456,1597933876.917895
10,1597933876.917987,1597933877.057127
11,1597933877.057219,1597933877.194674
12,1597933877.194767,1597933877.332366
13,1597933877.332488,1597933877.471065
14,1597933877.471155,1597933877.609172
15,1597933877.609265,1597933877.748355
16,1597933877.748454,1597933877.887094
17,1597933877.887187,1597933878.025093
18,1597933878.025191,1597933878.162692
