id,client_send,client_rcv
1,1597934084.399537,1597934084.526897
2,1597934084.526989,1597934084.655452
3,1597934084.655545,1597934084.782748
4,1597934084.782844,1597934084.909898
5,1597934084.909985,1597934085.038911
6,1597934085.039005,1597934085.167527
7,1597934085.167619,1597934085.29794
8,1597934085.298028,1597934085.427431
9,1597934085.427525,1597934085.557215
10,1597934085.55732,1597934085.685145
11,1597934085.685244,1597934085.814956
12,1597934085.815061,1597934085.943001
13,1597934085.943087,1597934086.071482
14,1597934086.071574,1597934086.19952
