id,server_rcv,server_send
1,1597933518.548989,1597933518.549007
2,1597933518.687807,1597933518.687816
3,1597933518.825454,1597933518.825472
4,1597933518.963705,1597933518.963723
5,1597933519.104249,1597933519.104256
6,1597933519.241406,1597933519.241424
7,1597933519.37781,1597933519.377816
8,1597933519.516946,1597933519.516954
9,1597933519.654828,1597933519.654847
10,1597933519.792858,1597933519.792877
11,1597933519.932129,1597933519.932147
12,1597933520.076028,1597933520.076035
13,1597933520.213439,1597933520.213447
14,1597933520.351701,1597933520.35172
15,1597933520.490935,1597933520.490953
