id,server_rcv,server_send
1,1597933747.054558,1597933747.054565
2,1597933747.192327,1597933747.192345
3,1597933747.329902,1597933747.329926
4,1597933747.467812,1597933747.467823
5,1597933747.604764,1597933747.604782
6,1597933747.742845,1597933747.742863
7,1597933747.880869,1597933747.88089
8,1597933748.017245,1597933748.017264
9,1597933748.158789,1597933748.158807
10,1597933748.296691,1597933748.29671
11,1597933748.433973,1597933748.43399
12,1597933748.574551,1597933748.574569
13,1597933748.711943,1597933748.711962
14,1597933748.848788,1597933748.848808
15,1597933748.986506,1597933748.986525
16,1597933749.130303,1597933749.130312
17,1597933749.266913,1597933749.266932
18,1597933749.40532,1597933749.405328
19,1597933749.544348,1597933749.54437
20,1597933749.681835,1597933749.681843
21,1597933749.819115,1597933749.819123
22,1597933749.95893,1597933749.958937
23,1597933750.09677,1597933750.096777
