id,client_send,client_rcv
1,1597995946.589406,1597995946.79332
2,1597995946.793383,1597995946.996592
3,1597995946.996646,1597995947.202145
4,1597995947.202207,1597995947.407866
5,1597995947.408125,1597995947.614825
6,1597995947.614915,1597995947.816659
7,1597995947.816751,1597995948.018896
8,1597995948.018975,1597995948.231059
9,1597995948.231138,1597995948.43339
10,1597995948.433474,1597995948.641436
11,1597995948.641492,1597995948.842996
12,1597995948.843055,1597995949.048534
13,1597995949.048589,1597995949.256476
14,1597995949.256548,1597995949.458145
15,1597995949.458212,1597995949.658504
16,1597995949.658574,1597995949.862185
17,1597995949.862258,1597995950.065542
18,1597995950.065623,1597995950.27177
19,1597995950.271827,1597995950.477527
20,1597995950.477583,1597995950.680664
21,1597995950.680721,1597995950.885467
22,1597995950.885517,1597995951.091042
23,1597995951.091095,1597995951.231319
24,1597995951.231405,1597995951.397511
25,1597995951.397564,1597995951.603013
26,1597995951.603088,1597995951.806294
27,1597995951.806353,1597995952.011063
28,1597995952.011123,1597995952.217488
29,1597995952.217548,1597995952.421354
30,1597995952.421411,1597995952.626161
31,1597995952.626218,1597995952.830949
32,1597995952.831008,1597995953.041533
33,1597995953.041601,1597995953.239958
34,1597995953.240014,1597995953.444834
35,1597995953.444889,1597995953.651064
36,1597995953.651123,1597995953.856842
37,1597995953.856902,1597995954.058415
38,1597995954.058473,1597995954.569398
39,1597995954.569454,1597995954.775841
40,1597995954.775901,1597995954.98078
41,1597995954.980838,1597995955.18542
42,1597995955.185477,1597995955.389542
43,1597995955.3896,1597995955.591965
