id,client_send,client_rcv
1,1597998063.055431,1597998063.263559
2,1597998063.26364,1597998063.447738
3,1597998063.447811,1597998063.654842
4,1597998063.654961,1597998063.85828
5,1597998063.858357,1597998064.061297
6,1597998064.061371,1597998064.267051
7,1597998064.267123,1597998064.473265
8,1597998064.47338,1597998064.680651
9,1597998064.680725,1597998064.882252
10,1597998064.882325,1597998065.087931
11,1597998065.088003,1597998065.292531
12,1597998065.292604,1597998065.495764
13,1597998065.495835,1597998065.69842
14,1597998065.698492,1597998065.903678
15,1597998065.903749,1597998066.108714
16,1597998066.108789,1597998066.311088
17,1597998066.311161,1597998066.433337
18,1597998066.433538,1597998066.557419
19,1597998066.557486,1597998066.723082
20,1597998066.723155,1597998066.92548
21,1597998066.925571,1597998067.131832
22,1597998067.131909,1597998067.3368
23,1597998067.336875,1597998067.541749
24,1597998067.541837,1597998067.746312
25,1597998067.746389,1597998067.951158
26,1597998067.951255,1597998068.155188
27,1597998068.155295,1597998068.360669
28,1597998068.360739,1597998068.573537
29,1597998068.573613,1597998068.769444
30,1597998068.769519,1597998068.981579
31,1597998068.981651,1597998069.17733
32,1597998069.1774,1597998069.386214
33,1597998069.386357,1597998069.591179
34,1597998069.591255,1597998069.803735
35,1597998069.803807,1597998070.00141
36,1597998070.001486,1597998070.207132
37,1597998070.207206,1597998070.409593
