id,client_send,client_rcv
1,1597996002.536828,1597996002.739655
2,1597996002.739707,1597996002.945554
3,1597996002.945607,1597996003.150354
4,1597996003.150424,1597996003.354196
5,1597996003.354249,1597996003.532274
6,1597996003.532338,1597996003.656696
7,1597996003.656745,1597996003.863859
8,1597996003.863919,1597996004.070818
9,1597996004.070872,1597996004.275013
10,1597996004.275074,1597996004.479132
11,1597996004.479196,1597996004.682953
12,1597996004.683008,1597996004.887508
13,1597996004.887559,1597996005.124542
14,1597996005.124655,1597996005.297217
15,1597996005.297274,1597996005.524492
16,1597996005.524565,1597996005.723755
17,1597996005.723822,1597996005.910736
18,1597996005.910799,1597996006.117185
19,1597996006.11724,1597996006.321106
20,1597996006.321156,1597996006.524977
21,1597996006.525027,1597996006.730721
22,1597996006.730779,1597996006.937283
23,1597996006.937346,1597996007.139545
24,1597996007.139592,1597996007.34429
25,1597996007.344339,1597996007.549061
26,1597996007.549109,1597996007.753851
