id,client_send,client_rcv
1,1597996705.382701,1597996705.58408
2,1597996705.58413,1597996705.787599
3,1597996705.787662,1597996705.992913
4,1597996705.992991,1597996706.198111
5,1597996706.198176,1597996706.401656
6,1597996706.401719,1597996706.605644
7,1597996706.605704,1597996706.811641
8,1597996706.811691,1597996707.014433
9,1597996707.014552,1597996707.21841
10,1597996707.21846,1597996707.425871
11,1597996707.425935,1597996707.628158
12,1597996707.628221,1597996707.836107
13,1597996707.836174,1597996708.040068
14,1597996708.040143,1597996708.257861
15,1597996708.257913,1597996708.448701
16,1597996708.448761,1597996708.570234
17,1597996708.570284,1597996708.694575
18,1597996708.694652,1597996708.819148
19,1597996708.819208,1597996708.941587
20,1597996708.94166,1597996709.063725
21,1597996709.063776,1597996709.18624
22,1597996709.186296,1597996709.370824
23,1597996709.37088,1597996709.573592
24,1597996709.573813,1597996709.77654
25,1597996709.776588,1597996709.982908
26,1597996709.982969,1597996710.185082
27,1597996710.185146,1597996710.389943
28,1597996710.389993,1597996710.596409
29,1597996710.596476,1597996710.801276
30,1597996710.801339,1597996711.005217
31,1597996711.00528,1597996711.210828
32,1597996711.210896,1597996711.41488
33,1597996711.414958,1597996711.618705
34,1597996711.618761,1597996711.823588
35,1597996711.823658,1597996712.02913
36,1597996712.029178,1597996712.234873
