id,client_send,client_rcv
1,1597997002.145704,1597997002.351852
2,1597997002.351903,1597997002.555208
3,1597997002.555269,1597997002.760627
4,1597997002.760687,1597997002.963925
5,1597997002.963985,1597997003.169717
6,1597997003.169789,1597997003.372683
7,1597997003.37274,1597997003.577531
8,1597997003.577637,1597997003.787267
9,1597997003.787328,1597997003.987896
10,1597997003.987985,1597997004.191854
11,1597997004.192039,1597997004.401075
12,1597997004.401163,1597997004.600636
13,1597997004.600695,1597997004.807968
14,1597997004.808035,1597997005.011045
15,1597997005.011124,1597997005.216838
16,1597997005.216898,1597997005.41909
17,1597997005.419145,1597997005.62398
18,1597997005.624042,1597997005.828654
19,1597997005.82871,1597997006.034267
20,1597997006.034319,1597997006.241001
