id,client_send,client_rcv
1,1597997608.065937,1597997608.269196
2,1597997608.269253,1597997608.390849
3,1597997608.390898,1597997608.517703
4,1597997608.517761,1597997608.638806
5,1597997608.638871,1597997608.761995
6,1597997608.762048,1597997608.901816
7,1597997608.901887,1597997609.085286
8,1597997609.085357,1597997609.208639
9,1597997609.208711,1597997609.392128
10,1597997609.392227,1597997609.594614
11,1597997609.594661,1597997609.798989
12,1597997609.799043,1597997610.00686
13,1597997610.006907,1597997610.208912
14,1597997610.208966,1597997610.414122
15,1597997610.414167,1597997610.622414
16,1597997610.622487,1597997610.824997
17,1597997610.825049,1597997611.028889
18,1597997611.028978,1597997611.234147
19,1597997611.234248,1597997611.436013
20,1597997611.436077,1597997611.643602
21,1597997611.643667,1597997611.765145
22,1597997611.765217,1597997611.919256
23,1597997611.919305,1597997612.153963
24,1597997612.154042,1597997612.277228
