id,server_rcv,server_send
1,1598004961.235379,1598004961.235398
2,1598004961.43997,1598004961.439988
3,1598004961.651077,1598004961.651098
4,1598004961.849021,1598004961.849045
5,1598004962.053568,1598004962.053576
6,1598004962.261263,1598004962.261281
7,1598004962.463223,1598004962.463242
8,1598004962.667982,1598004962.668005
9,1598004962.79137,1598004962.791378
10,1598004962.974796,1598004962.974805
11,1598004963.179495,1598004963.179504
12,1598004963.384335,1598004963.384354
13,1598004963.588897,1598004963.588917
14,1598004963.711618,1598004963.711638
15,1598004963.907435,1598004963.907452
16,1598004964.100617,1598004964.100624
17,1598004964.304975,1598004964.304983
18,1598004964.510056,1598004964.510074
19,1598004964.714721,1598004964.714743
20,1598004964.9191,1598004964.919119
