id,server_rcv,server_send
1,1597997381.644452,1597997381.644471
2,1597997381.848606,1597997381.848613
3,1597997382.053293,1597997382.0533
4,1597997382.261985,1597997382.262011
5,1597997382.462597,1597997382.462607
6,1597997382.668369,1597997382.668386
7,1597997382.873228,1597997382.873248
8,1597997383.077156,1597997383.077164
9,1597997383.282346,1597997383.282364
10,1597997383.486737,1597997383.486756
11,1597997383.691796,1597997383.691816
12,1597997383.814343,1597997383.814351
13,1597997383.999301,1597997383.99932
14,1597997384.204014,1597997384.204032
15,1597997384.408932,1597997384.408951
16,1597997384.613614,1597997384.613633
17,1597997384.818075,1597997384.818087
18,1597997385.022631,1597997385.022654
19,1597997385.227831,1597997385.227851
20,1597997385.432917,1597997385.432936
21,1597997385.637688,1597997385.637707
22,1597997385.84244,1597997385.842459
23,1597997386.046526,1597997386.046537
24,1597997386.307669,1597997386.307682
25,1597997386.429246,1597997386.429267
26,1597997386.759175,1597997386.759193
27,1597997387.066212,1597997387.066222
28,1597997387.274916,1597997387.27494
29,1597997387.479645,1597997387.479664
30,1597997387.684332,1597997387.684353
31,1597997387.886654,1597997387.886673
32,1597997388.094229,1597997388.094238
