id,server_rcv,server_send
1,1597997500.983246,1597997500.983253
2,1597997501.168963,1597997501.168981
3,1597997501.373516,1597997501.373536
4,1597997501.583148,1597997501.583166
5,1597997501.782532,1597997501.782542
6,1597997501.904595,1597997501.904601
7,1597997502.029697,1597997502.029704
8,1597997502.152667,1597997502.152684
9,1597997502.277201,1597997502.277209
10,1597997502.504457,1597997502.504479
11,1597997502.708984,1597997502.709003
12,1597997502.913487,1597997502.913507
13,1597997503.118396,1597997503.118404
14,1597997503.322759,1597997503.322778
15,1597997503.522728,1597997503.522748
16,1597997503.714176,1597997503.714195
17,1597997503.84106,1597997503.841077
18,1597997504.033984,1597997504.034001
19,1597997504.238576,1597997504.238587
20,1597997504.443692,1597997504.443712
21,1597997504.648352,1597997504.648369
22,1597997504.852746,1597997504.852763
23,1597997505.060471,1597997505.060481
24,1597997505.261952,1597997505.261968
25,1597997505.467088,1597997505.467105
26,1597997505.674338,1597997505.674356
27,1597997505.878895,1597997505.878911
