id,server_rcv,server_send
1,1597997442.839436,1597997442.839455
2,1597997443.043591,1597997443.043599
3,1597997443.248732,1597997443.248752
4,1597997443.453379,1597997443.453398
5,1597997443.658087,1597997443.658106
6,1597997443.782606,1597997443.782627
7,1597997443.964716,1597997443.964735
8,1597997444.169691,1597997444.169711
9,1597997444.374376,1597997444.374395
10,1597997444.578764,1597997444.578785
11,1597997444.783669,1597997444.783691
12,1597997444.98795,1597997444.987958
13,1597997445.20039,1597997445.200409
14,1597997445.397585,1597997445.397604
15,1597997445.602575,1597997445.602594
16,1597997445.80708,1597997445.8071
17,1597997446.011817,1597997446.011836
18,1597997446.216796,1597997446.216816
19,1597997446.421801,1597997446.421821
20,1597997446.626517,1597997446.626536
21,1597997446.83088,1597997446.830887
22,1597997447.035615,1597997447.035623
23,1597997447.240929,1597997447.240949
24,1597997447.445773,1597997447.445793
25,1597997447.650529,1597997447.650549
26,1597997447.855144,1597997447.85517
