id,server_rcv,server_send
1,1598004117.195847,1598004117.195866
2,1598004117.400555,1598004117.400573
3,1598004117.605249,1598004117.605268
4,1598004117.809793,1598004117.809802
5,1598004118.014381,1598004118.014401
6,1598004118.218984,1598004118.219003
7,1598004118.423736,1598004118.423756
8,1598004118.623459,1598004118.623481
9,1598004118.8282,1598004118.828216
10,1598004118.951922,1598004118.951941
11,1598004119.075046,1598004119.075054
12,1598004119.237248,1598004119.237267
13,1598004119.441947,1598004119.441968
14,1598004119.646956,1598004119.646978
15,1598004119.851167,1598004119.851186
16,1598004120.055774,1598004120.055783
17,1598004120.260515,1598004120.260526
18,1598004120.465582,1598004120.465601
19,1598004120.67023,1598004120.670288
20,1598004120.874646,1598004120.874654
21,1598004121.079097,1598004121.079105
22,1598004121.28382,1598004121.28383
23,1598004121.488451,1598004121.488467
24,1598004121.693529,1598004121.693551
25,1598004121.897776,1598004121.897784
26,1598004122.102407,1598004122.102414
27,1598004122.307234,1598004122.307251
28,1598004122.511976,1598004122.511999
29,1598004122.716929,1598004122.716951
30,1598004122.921706,1598004122.921725
