id,server_rcv,server_send
1,1597996824.64558,1597996824.645588
2,1597996824.850594,1597996824.850615
3,1597996825.054833,1597996825.054841
4,1597996825.259961,1597996825.259981
5,1597996825.464555,1597996825.464574
6,1597996825.669182,1597996825.669194
7,1597996825.873951,1597996825.873973
8,1597996826.078153,1597996826.078161
9,1597996826.282828,1597996826.282835
10,1597996826.487785,1597996826.487793
11,1597996826.692461,1597996826.692468
12,1597996826.897274,1597996826.897294
13,1597996827.101825,1597996827.101833
14,1597996827.306633,1597996827.306672
15,1597996827.510997,1597996827.511017
16,1597996827.715857,1597996827.715876
17,1597996827.920551,1597996827.920573
18,1597996828.124885,1597996828.124893
19,1597996828.329568,1597996828.329589
20,1597996828.534658,1597996828.53468
21,1597996828.745681,1597996828.7457
22,1597996828.99762,1597996828.997642
23,1597996829.121744,1597996829.121752
24,1597996829.352976,1597996829.352995
25,1597996829.509836,1597996829.509857
26,1597996829.659881,1597996829.659889
27,1597996829.864667,1597996829.864689
28,1597996830.06912,1597996830.069128
29,1597996830.278979,1597996830.278998
30,1597996830.483974,1597996830.483996
31,1597996830.688498,1597996830.688505
32,1597996830.893366,1597996830.893388
33,1597996831.092828,1597996831.092836
34,1597996831.302568,1597996831.302575
35,1597996831.507009,1597996831.507018
36,1597996831.706728,1597996831.706736
37,1597996831.911449,1597996831.911473
38,1597996832.116191,1597996832.116211
39,1597996832.320938,1597996832.320957
40,1597996832.525547,1597996832.525564
41,1597996832.648322,1597996832.648332
42,1597996832.832561,1597996832.832579
43,1597996833.036839,1597996833.036852
