id,server_rcv,server_send
1,1597996933.629962,1597996933.630001
2,1597996933.834904,1597996933.834923
3,1597996934.039228,1597996934.039241
4,1597996934.218318,1597996934.218338
5,1597996934.34361,1597996934.343632
6,1597996934.551342,1597996934.551361
7,1597996934.755824,1597996934.755844
8,1597996934.960612,1597996934.960631
9,1597996935.170279,1597996935.170289
10,1597996935.296299,1597996935.296317
11,1597996935.477161,1597996935.477181
12,1597996935.676824,1597996935.676841
13,1597996935.88663,1597996935.88665
14,1597996936.090841,1597996936.090848
15,1597996936.295932,1597996936.295951
16,1597996936.500494,1597996936.500502
17,1597996936.699929,1597996936.699948
18,1597996936.904827,1597996936.904847
19,1597996937.109453,1597996937.109461
20,1597996937.314122,1597996937.314148
21,1597996937.518756,1597996937.518776
22,1597996937.723469,1597996937.723489
23,1597996937.845693,1597996937.845713
24,1597996937.967725,1597996937.967744
25,1597996938.132485,1597996938.132501
26,1597996938.337223,1597996938.337243
27,1597996938.6418,1597996938.641825
28,1597996938.849548,1597996938.849568
29,1597996939.053862,1597996939.053869
30,1597996939.259193,1597996939.259213
31,1597996939.464075,1597996939.464094
32,1597996939.674562,1597996939.674571
33,1597996939.873539,1597996939.873559
34,1597996940.077885,1597996940.077892
35,1597996940.283188,1597996940.283205
36,1597996940.487914,1597996940.487924
37,1597996940.692629,1597996940.692642
38,1597996940.897596,1597996940.897616
39,1597996941.102289,1597996941.102297
40,1597996941.306849,1597996941.306867
41,1597996941.611627,1597996941.611635
42,1597996941.819006,1597996941.819023
43,1597996942.021155,1597996942.021164
