id,server_rcv,server_send
1,1598003918.767531,1598003918.76755
2,1598003918.97227,1598003918.972287
3,1598003919.094565,1598003919.094572
4,1598003919.279614,1598003919.279637
5,1598003919.484394,1598003919.484413
6,1598003919.688686,1598003919.688708
7,1598003919.809988,1598003919.810016
8,1598003919.931343,1598003919.931363
9,1598003920.097479,1598003920.097488
10,1598003920.273732,1598003920.273751
11,1598003920.396998,1598003920.397008
12,1598003920.609703,1598003920.609726
13,1598003920.814042,1598003920.81407
14,1598003920.937462,1598003920.937481
15,1598003921.058848,1598003921.058856
16,1598003921.181379,1598003921.181409
17,1598003921.325625,1598003921.325643
18,1598003921.530689,1598003921.530718
19,1598003921.734793,1598003921.734803
20,1598003921.857832,1598003921.857842
21,1598003921.978892,1598003921.978899
22,1598003922.10164,1598003922.101648
23,1598003922.246473,1598003922.246481
24,1598003922.451463,1598003922.451482
25,1598003922.656337,1598003922.656359
26,1598003922.860605,1598003922.860624
27,1598003923.065135,1598003923.065143
28,1598003923.270372,1598003923.270395
29,1598003923.474813,1598003923.474832
30,1598003923.679314,1598003923.679332
31,1598003923.80314,1598003923.803147
32,1598003923.986609,1598003923.986627
33,1598003924.190941,1598003924.190959
34,1598003924.395797,1598003924.395805
35,1598003924.601092,1598003924.601114
36,1598003924.805365,1598003924.805388
37,1598003925.009662,1598003925.009686
38,1598003925.215372,1598003925.215392
39,1598003925.418902,1598003925.418911
40,1598003925.623838,1598003925.62386
