id,client_send,client_rcv
1,1597995881.505109,1597995881.71374
2,1597995881.713789,1597995881.915432
3,1597995881.915477,1597995882.123698
4,1597995882.123764,1597995882.32439
5,1597995882.324437,1597995882.52838
6,1597995882.52844,1597995882.734617
7,1597995882.734684,1597995882.937662
8,1597995882.93771,1597995883.144146
9,1597995883.144199,1597995883.347227
10,1597995883.347278,1597995883.554454
11,1597995883.554506,1597995883.759547
12,1597995883.759647,1597995883.901733
13,1597995883.901779,1597995884.063385
14,1597995884.063433,1597995884.271434
15,1597995884.271497,1597995884.474804
16,1597995884.47486,1597995884.679361
17,1597995884.67946,1597995884.885684
18,1597995884.885783,1597995885.117953
19,1597995885.118034,1597995885.3114
20,1597995885.311466,1597995885.501709
