id,client_send,client_rcv
1,1597995763.881222,1597995764.117127
2,1597995764.117179,1597995764.320315
3,1597995764.320376,1597995764.526034
4,1597995764.526099,1597995764.731658
5,1597995764.731708,1597995764.935997
6,1597995764.936055,1597995765.141046
7,1597995765.141104,1597995765.345287
8,1597995765.345352,1597995765.552931
9,1597995765.552995,1597995765.754482
10,1597995765.754532,1597995766.061117
11,1597995766.061165,1597995766.266202
12,1597995766.266268,1597995766.469128
13,1597995766.469186,1597995766.673209
14,1597995766.673256,1597995766.881016
15,1597995766.8811,1597995767.084706
16,1597995767.084786,1597995767.287435
17,1597995767.287486,1597995767.49452
18,1597995767.494572,1597995767.699853
19,1597995767.699913,1597995767.901747
20,1597995767.901793,1597995768.10832
