id,client_send,client_rcv
1,1598003270.963196,1598003271.167935
2,1598003271.16799,1598003271.372606
3,1598003271.37266,1598003271.577953
4,1598003271.578,1598003271.783122
5,1598003271.783173,1598003271.916606
6,1598003271.91666,1598003272.088474
7,1598003272.088521,1598003272.295006
8,1598003272.295059,1598003272.497225
9,1598003272.497277,1598003272.712
10,1598003272.712053,1598003272.905427
11,1598003272.905479,1598003273.112032
12,1598003273.112096,1598003273.317511
13,1598003273.317564,1598003273.522601
14,1598003273.522656,1598003273.726367
15,1598003273.726419,1598003273.932884
16,1598003273.932954,1598003274.138123
17,1598003274.138187,1598003274.343284
18,1598003274.343354,1598003274.545513
19,1598003274.545566,1598003274.749882
20,1598003274.749949,1598003274.954594
21,1598003274.954663,1598003275.159071
22,1598003275.159125,1598003275.362996
23,1598003275.363052,1598003275.567051
24,1598003275.56712,1598003275.774214
25,1598003275.774262,1598003275.976651
