id,client_send,client_rcv
1,1598004045.14171,1598004045.265455
2,1598004045.265519,1598004045.387947
3,1598004045.38801,1598004045.550403
4,1598004045.550473,1598004045.753719
5,1598004045.753759,1598004045.961046
6,1598004045.961127,1598004046.163261
7,1598004046.16334,1598004046.369519
8,1598004046.369608,1598004046.571922
9,1598004046.571995,1598004046.775899
10,1598004046.775971,1598004046.983373
11,1598004046.983442,1598004047.186047
12,1598004047.186129,1598004047.39101
13,1598004047.39107,1598004047.595071
14,1598004047.595131,1598004047.800719
15,1598004047.800796,1598004048.007259
16,1598004048.007348,1598004048.209919
17,1598004048.209984,1598004048.416897
18,1598004048.416988,1598004048.621609
19,1598004048.621664,1598004048.825577
20,1598004048.82563,1598004049.02954
21,1598004049.029607,1598004049.232882
22,1598004049.232951,1598004049.441299
