id,server_rcv,server_send
1,1598004181.461352,1598004181.461364
2,1598004181.661033,1598004181.661051
3,1598004181.8652,1598004181.865208
4,1598004182.070402,1598004182.070409
5,1598004182.274912,1598004182.274924
6,1598004182.479575,1598004182.479591
7,1598004182.684387,1598004182.684405
8,1598004182.888776,1598004182.888784
9,1598004183.093492,1598004183.093499
10,1598004183.298351,1598004183.298367
11,1598004183.503154,1598004183.50317
12,1598004183.708045,1598004183.708064
13,1598004183.913173,1598004183.913184
14,1598004184.117962,1598004184.117978
15,1598004184.322348,1598004184.322373
16,1598004184.527109,1598004184.527126
17,1598004184.73285,1598004184.732866
18,1598004184.854424,1598004184.85444
19,1598004185.040489,1598004185.040499
20,1598004185.244463,1598004185.24448
21,1598004185.449133,1598004185.449146
22,1598004185.654295,1598004185.654317
23,1598004185.777597,1598004185.777614
24,1598004185.960707,1598004185.960715
25,1598004186.165452,1598004186.165459
26,1598004186.370143,1598004186.370155
27,1598004186.574951,1598004186.57497
28,1598004186.779347,1598004186.779367
29,1598004186.983466,1598004186.983474
30,1598004187.189558,1598004187.18957
31,1598004187.393221,1598004187.393233
32,1598004187.598078,1598004187.598097
33,1598004187.802862,1598004187.802881
34,1598004188.007617,1598004188.007635
35,1598004188.212382,1598004188.212398
36,1598004188.414668,1598004188.414677
37,1598004188.619152,1598004188.619171
38,1598004188.824117,1598004188.824138
39,1598004189.028405,1598004189.028421
40,1598004189.234081,1598004189.234098
41,1598004189.437613,1598004189.437622
42,1598004189.642394,1598004189.642412
43,1598004189.84722,1598004189.847237
