id,server_rcv,server_send
1,1597997803.719169,1597997803.719186
2,1597997803.845895,1597997803.845912
3,1597997804.073571,1597997804.07358
4,1597997804.27836,1597997804.278376
5,1597997804.483345,1597997804.483362
6,1597997804.687941,1597997804.687958
7,1597997804.892689,1597997804.892706
8,1597997805.097313,1597997805.097321
9,1597997805.302064,1597997805.302073
10,1597997805.506634,1597997805.506652
11,1597997805.711362,1597997805.711379
12,1597997805.916006,1597997805.916023
13,1597997806.120604,1597997806.120613
14,1597997806.324882,1597997806.324891
15,1597997806.530001,1597997806.530018
16,1597997806.734569,1597997806.734586
17,1597997806.939118,1597997806.939135
18,1597997807.143493,1597997807.143501
19,1597997807.348654,1597997807.348672
20,1597997807.553149,1597997807.553167
21,1597997807.757978,1597997807.757995
22,1597997807.962439,1597997807.962457
