id,server_rcv,server_send
1,1598002822.579393,1598002822.579411
2,1598002822.783849,1598002822.783867
3,1598002822.988467,1598002822.988486
4,1598002823.193367,1598002823.193386
5,1598002823.397739,1598002823.397757
6,1598002823.603486,1598002823.603505
7,1598002823.750163,1598002823.750182
8,1598002823.873924,1598002823.873933
9,1598002824.001343,1598002824.001352
10,1598002824.216713,1598002824.216738
11,1598002824.340214,1598002824.340224
12,1598002824.523533,1598002824.523568
13,1598002824.728027,1598002824.728041
14,1598002824.849945,1598002824.849974
15,1598002824.971647,1598002824.971666
16,1598002825.137448,1598002825.137462
17,1598002825.341986,1598002825.341996
18,1598002825.546694,1598002825.546702
19,1598002825.751415,1598002825.751435
20,1598002825.918613,1598002825.918623
21,1598002826.042261,1598002826.042271
22,1598002826.165245,1598002826.165252
23,1598002826.365376,1598002826.365386
24,1598002826.486264,1598002826.486271
25,1598002826.60948,1598002826.609501
26,1598002826.733283,1598002826.733289
27,1598002826.856526,1598002826.856538
28,1598002826.978356,1598002826.978364
29,1598002827.101278,1598002827.101285
30,1598002827.286296,1598002827.286302
31,1598002827.491003,1598002827.491012
32,1598002827.613979,1598002827.61399
33,1598002827.736004,1598002827.736012
34,1598002827.900997,1598002827.901018
35,1598002828.104942,1598002828.104952
