id,server_rcv,server_send
1,1598006129.078571,1598006129.078579
2,1598006129.263907,1598006129.263915
3,1598006129.46822,1598006129.468228
4,1598006129.672926,1598006129.672935
5,1598006129.851683,1598006129.851693
6,1598006130.08222,1598006130.08223
7,1598006130.287063,1598006130.28707
8,1598006130.492032,1598006130.492048
9,1598006130.696712,1598006130.696732
10,1598006130.900835,1598006130.900845
11,1598006131.105551,1598006131.105557
12,1598006131.310174,1598006131.310181
13,1598006131.515154,1598006131.515173
14,1598006131.719979,1598006131.719999
15,1598006131.924375,1598006131.924395
16,1598006132.128987,1598006132.129005
17,1598006132.333747,1598006132.333763
18,1598006132.538722,1598006132.538742
19,1598006132.662018,1598006132.662038
20,1598006132.845206,1598006132.845216
21,1598006133.049856,1598006133.049866
