id,server_rcv,server_send
1,1597998201.637231,1597998201.637249
2,1597998201.841717,1597998201.841734
3,1597998201.966352,1597998201.96637
4,1597998202.148959,1597998202.148964
5,1597998202.353683,1597998202.35369
6,1597998202.559124,1597998202.559141
7,1597998202.762591,1597998202.762608
8,1597998202.967374,1597998202.96739
9,1597998203.172301,1597998203.172319
10,1597998203.377043,1597998203.37706
11,1597998203.581615,1597998203.581632
12,1597998203.785971,1597998203.785987
13,1597998203.991355,1597998203.991362
14,1597998204.195467,1597998204.195474
15,1597998204.400429,1597998204.400445
16,1597998204.604866,1597998204.604884
17,1597998204.810555,1597998204.810574
18,1597998205.014884,1597998205.014903
19,1597998205.219466,1597998205.219483
20,1597998205.423049,1597998205.423065
21,1597998205.546857,1597998205.546874
22,1597998205.67143,1597998205.671446
23,1597998205.832706,1597998205.832723
24,1597998206.037883,1597998206.037895
25,1597998206.241997,1597998206.242008
26,1597998206.446672,1597998206.446682
27,1597998206.651516,1597998206.651534
28,1597998206.856453,1597998206.85647
29,1597998207.061003,1597998207.061013
30,1597998207.264636,1597998207.264645
31,1597998207.470078,1597998207.470093
32,1597998207.674462,1597998207.674479
33,1597998207.879697,1597998207.879714
34,1597998208.083557,1597998208.083565
35,1597998208.289238,1597998208.289255
36,1597998208.428087,1597998208.428104
37,1597998208.554698,1597998208.554714
38,1597998208.677663,1597998208.67768
39,1597998208.801021,1597998208.801038
40,1597998208.922424,1597998208.922432
41,1597998209.047499,1597998209.047507
42,1597998209.210763,1597998209.210779
