id,client_send,client_rcv
1,1597957733.312583,1597957733.511745
2,1597957733.511793,1597957733.718834
3,1597957733.718883,1597957733.920387
4,1597957733.92045,1597957734.126125
5,1597957734.126181,1597957734.330051
6,1597957734.330121,1597957734.536343
7,1597957734.536383,1597957734.740284
8,1597957734.74035,1597957734.946789
9,1597957734.946852,1597957735.150827
10,1597957735.150905,1597957735.354935
11,1597957735.354997,1597957735.559685
12,1597957735.559761,1597957735.766402
13,1597957735.766449,1597957735.968246
14,1597957735.9683,1597957736.17223
15,1597957736.17228,1597957736.378677
16,1597957736.378734,1597957736.583663
17,1597957736.583744,1597957736.799553
18,1597957736.799611,1597957736.920718
19,1597957736.920779,1597957737.095065
20,1597957737.095138,1597957737.297857
21,1597957737.297918,1597957737.505055
22,1597957737.505121,1597957737.70842
23,1597957737.708485,1597957737.912329
24,1597957737.912495,1597957738.116547
25,1597957738.116625,1597957738.321231
26,1597957738.321294,1597957738.526801
27,1597957738.526869,1597957738.731358
28,1597957738.731422,1597957738.936368
29,1597957738.936443,1597957739.139646
30,1597957739.139715,1597957739.34584
31,1597957739.345913,1597957739.550583
32,1597957739.55065,1597957739.756654
33,1597957739.756725,1597957739.959488
34,1597957739.959546,1597957740.163458
35,1597957740.163513,1597957740.36821
36,1597957740.368292,1597957740.574096
37,1597957740.574174,1597957740.777735
38,1597957740.777793,1597957740.981967
