id,client_send,client_rcv
1,1597957169.894057,1597957170.098742
2,1597957170.098809,1597957170.305138
3,1597957170.305205,1597957170.508356
4,1597957170.508438,1597957170.713017
5,1597957170.713084,1597957170.916944
6,1597957170.917015,1597957171.121833
7,1597957171.121905,1597957171.326857
8,1597957171.326933,1597957171.53136
9,1597957171.531426,1597957171.737984
10,1597957171.738045,1597957171.860959
11,1597957171.861024,1597957172.042735
12,1597957172.042794,1597957172.247322
13,1597957172.247381,1597957172.453217
14,1597957172.453294,1597957172.657853
15,1597957172.657914,1597957172.863304
16,1597957172.863376,1597957173.067135
17,1597957173.067203,1597957173.271277
18,1597957173.27134,1597957173.392115
19,1597957173.392169,1597957173.576982
20,1597957173.577046,1597957173.782671
21,1597957173.782737,1597957173.987312
22,1597957173.987371,1597957174.192141
23,1597957174.192203,1597957174.314502
24,1597957174.314557,1597957174.501308
25,1597957174.501381,1597957174.703129
26,1597957174.703196,1597957174.899941
27,1597957174.90001,1597957175.112009
28,1597957175.112082,1597957175.316762
29,1597957175.316823,1597957175.439092
30,1597957175.439163,1597957175.626281
31,1597957175.626334,1597957175.8303
32,1597957175.830355,1597957175.953591
33,1597957175.953644,1597957176.076098
34,1597957176.076136,1597957176.238497
35,1597957176.238572,1597957176.443209
36,1597957176.443275,1597957176.648048
37,1597957176.648117,1597957176.852273
38,1597957176.852405,1597957177.057647
