id,client_send,client_rcv
1,1597958073.138078,1597958073.342824
2,1597958073.342875,1597958073.546322
3,1597958073.546372,1597958073.958856
4,1597958073.958923,1597958074.162803
5,1597958074.162849,1597958074.361857
6,1597958074.361908,1597958074.482773
7,1597958074.482824,1597958074.673293
8,1597958074.673363,1597958074.878708
9,1597958074.878782,1597958074.996651
10,1597958074.996721,1597958075.390051
11,1597958075.390109,1597958075.593944
12,1597958075.593996,1597958075.798881
13,1597958075.798924,1597958076.004304
14,1597958076.004356,1597958076.210224
15,1597958076.21027,1597958076.413025
16,1597958076.413077,1597958076.618962
17,1597958076.619015,1597958076.821066
18,1597958076.821122,1597958077.029035
19,1597958077.029108,1597958077.232087
20,1597958077.23214,1597958077.43783
21,1597958077.437873,1597958077.643651
22,1597958077.643713,1597958077.851076
23,1597958077.851143,1597958077.974584
24,1597958077.974623,1597958078.153031
25,1597958078.153087,1597958078.359004
26,1597958078.359054,1597958078.560336
27,1597958078.560395,1597958078.765856
28,1597958078.765925,1597958078.887538
29,1597958078.887592,1597958079.010521
