id,client_send,client_rcv
1,1597957496.982012,1597957497.135704
2,1597957497.135746,1597957497.340564
3,1597957497.340616,1597957497.546362
4,1597957497.546423,1597957497.750117
5,1597957497.750182,1597957497.954548
6,1597957497.954614,1597957498.159901
7,1597957498.159972,1597957498.366972
8,1597957498.367039,1597957498.575278
9,1597957498.575324,1597957498.773633
10,1597957498.773686,1597957498.977414
11,1597957498.977467,1597957499.182433
12,1597957499.182488,1597957499.388618
13,1597957499.388673,1597957499.593344
14,1597957499.593403,1597957499.797682
15,1597957499.797745,1597957500.00294
16,1597957500.002996,1597957500.205454
17,1597957500.205515,1597957500.411073
18,1597957500.41113,1597957500.61688
19,1597957500.61695,1597957500.822059
20,1597957500.822115,1597957501.025569
