id,client_send,client_rcv
1,1597957449.349397,1597957449.553918
2,1597957449.553967,1597957449.759415
3,1597957449.759488,1597957449.889838
4,1597957449.889884,1597957450.065243
5,1597957450.065291,1597957450.187378
6,1597957450.187436,1597957450.375578
7,1597957450.375623,1597957450.579564
8,1597957450.579636,1597957450.783476
9,1597957450.783521,1597957450.987537
10,1597957450.987597,1597957451.192157
11,1597957451.192218,1597957451.39623
12,1597957451.396273,1597957451.600966
13,1597957451.601002,1597957451.808323
14,1597957451.808388,1597957452.011411
15,1597957452.011442,1597957452.215549
16,1597957452.215616,1597957452.384331
17,1597957452.384374,1597957452.523493
18,1597957452.523545,1597957452.726709
19,1597957452.726777,1597957452.930582
20,1597957452.930631,1597957453.1372
21,1597957453.137239,1597957453.340964
22,1597957453.341024,1597957453.545712
23,1597957453.54577,1597957453.748991
24,1597957453.749044,1597957453.954112
25,1597957453.95419,1597957454.16032
