id,client_send,client_rcv
1,1597957116.274032,1597957116.480247
2,1597957116.480297,1597957116.684194
3,1597957116.684237,1597957116.890141
4,1597957116.890188,1597957117.094718
5,1597957117.094765,1597957117.29783
6,1597957117.297881,1597957117.504879
7,1597957117.50495,1597957117.706803
8,1597957117.706868,1597957117.913924
9,1597957117.91397,1597957118.116336
10,1597957118.116397,1597957118.321887
11,1597957118.321943,1597957118.525162
12,1597957118.52523,1597957118.729832
13,1597957118.729893,1597957118.936112
14,1597957118.936166,1597957119.141856
15,1597957119.141928,1597957119.346588
16,1597957119.346643,1597957119.549714
17,1597957119.549792,1597957119.753762
18,1597957119.75382,1597957119.915351
19,1597957119.915418,1597957120.060987
20,1597957120.061047,1597957120.265939
21,1597957120.26599,1597957120.38936
22,1597957120.389411,1597957120.573699
23,1597957120.57377,1597957120.778328
24,1597957120.778368,1597957120.983241
25,1597957120.983284,1597957121.18669
26,1597957121.18674,1597957121.390519
27,1597957121.390566,1597957121.595246
28,1597957121.595307,1597957121.801728
29,1597957121.801775,1597957122.006415
30,1597957122.006465,1597957122.166325
31,1597957122.166378,1597957122.287145
32,1597957122.287181,1597957122.515909
33,1597957122.515973,1597957122.727025
34,1597957122.727074,1597957122.928055
35,1597957122.928103,1597957123.130496
36,1597957123.130543,1597957123.340945
37,1597957123.341022,1597957123.546475
38,1597957123.546531,1597957123.75037
39,1597957123.750437,1597957123.956036
40,1597957123.956097,1597957124.160756
41,1597957124.160818,1597957124.363035
42,1597957124.363089,1597957124.564809
43,1597957124.564856,1597957124.769562
44,1597957124.769611,1597957124.971765
45,1597957124.971809,1597957125.176724
46,1597957125.176774,1597957125.382244
47,1597957125.38229,1597957125.587257
48,1597957125.587318,1597957125.793367
49,1597957125.793413,1597957125.994995
50,1597957125.995044,1597957126.202179
51,1597957126.202242,1597957126.405584
