id,client_send,client_rcv
1,1597957900.619547,1597957900.823966
2,1597957900.824004,1597957901.029841
3,1597957901.029893,1597957901.232832
4,1597957901.232889,1597957901.436076
5,1597957901.436134,1597957901.63616
6,1597957901.636204,1597957901.840848
7,1597957901.840908,1597957902.046299
8,1597957902.04638,1597957902.167964
9,1597957902.168024,1597957902.291919
10,1597957902.291962,1597957902.455162
11,1597957902.455211,1597957902.659065
12,1597957902.659119,1597957902.863527
13,1597957902.863582,1597957903.067191
14,1597957903.067256,1597957903.272685
15,1597957903.272731,1597957903.477679
16,1597957903.477713,1597957903.68401
17,1597957903.684064,1597957903.886263
18,1597957903.886321,1597957904.093443
19,1597957904.093505,1597957904.297459
20,1597957904.297516,1597957904.501385
21,1597957904.501434,1597957904.705401
22,1597957904.705451,1597957904.855681
23,1597957904.855721,1597957905.012585
24,1597957905.012622,1597957905.218996
25,1597957905.219042,1597957905.423868
26,1597957905.423908,1597957905.628579
27,1597957905.628645,1597957905.830219
28,1597957905.830267,1597957906.03743
