id,client_send,client_rcv
1,1597958045.918597,1597958046.123641
2,1597958046.123709,1597958046.326608
3,1597958046.326677,1597958046.533668
4,1597958046.53374,1597958046.735328
5,1597958046.735395,1597958046.944191
6,1597958046.944258,1597958047.151183
7,1597958047.151253,1597958047.355162
8,1597958047.355229,1597958047.523854
9,1597958047.52393,1597958047.649759
10,1597958047.649816,1597958047.852003
11,1597958047.852061,1597958048.065676
12,1597958048.065746,1597958048.271243
13,1597958048.271329,1597958048.394509
14,1597958048.394571,1597958048.579241
15,1597958048.579298,1597958048.783187
16,1597958048.783248,1597958048.987072
17,1597958048.987135,1597958049.1939
18,1597958049.193968,1597958049.398669
19,1597958049.398761,1597958049.603341
20,1597958049.603475,1597958049.80547
21,1597958049.805542,1597958050.010201
22,1597958050.010272,1597958050.214244
23,1597958050.214312,1597958050.421401
24,1597958050.421478,1597958050.624054
25,1597958050.62412,1597958050.844984
26,1597958050.845051,1597958051.031731
27,1597958051.03179,1597958051.244606
28,1597958051.244677,1597958051.445669
29,1597958051.445734,1597958051.649537
30,1597958051.649598,1597958051.854107
31,1597958051.854164,1597958052.058115
32,1597958052.05817,1597958052.262087
33,1597958052.262134,1597958052.467009
