id,client_send,client_rcv
1,1597957233.032541,1597957233.236978
2,1597957233.237048,1597957233.36221
3,1597957233.362299,1597957233.489777
4,1597957233.489817,1597957233.645609
5,1597957233.645662,1597957233.850314
6,1597957233.850382,1597957234.054103
7,1597957234.054159,1597957234.257543
8,1597957234.257617,1597957234.405881
9,1597957234.405944,1597957234.564932
10,1597957234.564984,1597957234.771017
11,1597957234.771084,1597957234.97586
12,1597957234.975928,1597957235.178123
13,1597957235.17819,1597957235.384557
14,1597957235.384628,1597957235.590673
15,1597957235.590741,1597957235.791703
16,1597957235.791772,1597957235.997385
17,1597957235.997463,1597957236.202975
18,1597957236.203052,1597957236.406231
19,1597957236.406307,1597957236.61261
20,1597957236.612679,1597957236.817266
21,1597957236.817349,1597957237.02145
22,1597957237.021509,1597957237.22754
