id,client_send,client_rcv
1,1597957352.113802,1597957352.343551
2,1597957352.343672,1597957352.466591
3,1597957352.466636,1597957352.652591
4,1597957352.652645,1597957352.854521
5,1597957352.854585,1597957353.061889
6,1597957353.06195,1597957353.185768
7,1597957353.18582,1597957353.365533
8,1597957353.365604,1597957353.488953
9,1597957353.489023,1597957353.674393
10,1597957353.674453,1597957353.880947
11,1597957353.881008,1597957354.083908
12,1597957354.083957,1597957354.295718
13,1597957354.295759,1597957354.419427
14,1597957354.419477,1597957354.601489
15,1597957354.601523,1597957354.805377
16,1597957354.805429,1597957355.011833
17,1597957355.01189,1597957355.216589
18,1597957355.216647,1597957355.41905
19,1597957355.419106,1597957355.619914
20,1597957355.619968,1597957355.823274
