id,client_send,client_rcv
1,1597958088.3852,1597958088.587855
2,1597958088.587913,1597958088.791707
3,1597958088.791753,1597958088.998089
4,1597958088.99814,1597958089.207651
5,1597958089.207701,1597958089.414054
6,1597958089.414103,1597958089.53561
7,1597958089.53566,1597958089.722671
8,1597958089.722717,1597958089.925081
9,1597958089.925119,1597958090.130714
10,1597958090.130751,1597958090.333846
11,1597958090.333888,1597958090.531733
12,1597958090.531775,1597958090.738853
13,1597958090.738916,1597958090.941298
14,1597958090.941338,1597958091.14614
15,1597958091.146212,1597958091.352294
16,1597958091.352422,1597958091.554776
17,1597958091.554847,1597958091.758623
18,1597958091.758674,1597958091.965203
19,1597958091.965259,1597958092.170064
20,1597958092.170119,1597958092.373191
21,1597958092.373235,1597958092.580397
22,1597958092.580457,1597958092.783815
23,1597958092.78387,1597958092.988302
24,1597958092.988359,1597958093.195117
25,1597958093.195178,1597958093.398771
26,1597958093.398835,1597958093.60117
