id,client_send,client_rcv
1,1597957693.299203,1597957693.502495
2,1597957693.503039,1597957693.708677
3,1597957693.708729,1597957693.912233
4,1597957693.912327,1597957694.115167
5,1597957694.115239,1597957694.320492
6,1597957694.320548,1597957694.525401
7,1597957694.525455,1597957694.73065
8,1597957694.730723,1597957694.935054
9,1597957694.935115,1597957695.141458
10,1597957695.141547,1597957695.344768
11,1597957695.344822,1597957695.550158
12,1597957695.550226,1597957695.754099
13,1597957695.754158,1597957695.958173
14,1597957695.958247,1597957696.079734
15,1597957696.079774,1597957696.26685
16,1597957696.266911,1597957696.46928
17,1597957696.469357,1597957696.675038
18,1597957696.675102,1597957696.878917
19,1597957696.878973,1597957697.084459
20,1597957697.084523,1597957697.206956
21,1597957697.207033,1597957697.391876
22,1597957697.391977,1597957697.597301
23,1597957697.597368,1597957697.8022
24,1597957697.802255,1597957698.017242
25,1597957698.017318,1597957698.211698
26,1597957698.21176,1597957698.417242
27,1597957698.417312,1597957698.617996
28,1597957698.61805,1597957698.824515
29,1597957698.82457,1597957699.026686
30,1597957699.02674,1597957699.23483
31,1597957699.234898,1597957699.440393
32,1597957699.440445,1597957699.643685
33,1597957699.643754,1597957699.84686
34,1597957699.846926,1597957700.053334
