id,server_rcv,server_send
1,1597957047.459222,1597957047.459239
2,1597957047.664082,1597957047.664105
3,1597957047.868264,1597957047.868271
4,1597957048.072944,1597957048.072952
5,1597957048.277744,1597957048.277762
6,1597957048.4822,1597957048.482206
7,1597957048.687078,1597957048.687086
8,1597957048.891615,1597957048.891628
9,1597957049.096503,1597957049.09651
10,1597957049.30145,1597957049.301469
11,1597957049.505992,1597957049.50601
12,1597957049.710776,1597957049.710797
13,1597957049.862405,1597957049.862427
14,1597957050.017746,1597957050.017755
15,1597957050.222389,1597957050.222407
16,1597957050.426704,1597957050.426711
17,1597957050.631487,1597957050.631505
18,1597957050.83665,1597957050.836668
19,1597957050.960502,1597957050.96052
20,1597957051.143294,1597957051.143306
21,1597957051.347666,1597957051.347684
22,1597957051.552724,1597957051.552743
23,1597957051.757382,1597957051.757401
24,1597957051.878657,1597957051.878666
25,1597957052.063909,1597957052.063917
26,1597957052.269036,1597957052.269054
27,1597957052.473706,1597957052.473725
28,1597957052.676218,1597957052.676234
29,1597957052.882545,1597957052.882552
30,1597957053.087209,1597957053.087216
31,1597957053.210611,1597957053.210629
32,1597957053.381211,1597957053.381228
33,1597957053.598873,1597957053.598881
34,1597957053.803878,1597957053.803897
35,1597957054.008407,1597957054.008426
36,1597957054.213334,1597957054.213351
37,1597957054.417556,1597957054.417564
38,1597957054.622688,1597957054.622706
39,1597957054.757844,1597957054.757863
