id,server_rcv,server_send
1,1597957270.651951,1597957270.65197
2,1597957270.856477,1597957270.856485
3,1597957271.060833,1597957271.060841
4,1597957271.265976,1597957271.265995
5,1597957271.470689,1597957271.470708
6,1597957271.669888,1597957271.669906
7,1597957271.794039,1597957271.794058
8,1597957271.977267,1597957271.977286
9,1597957272.18195,1597957272.181969
10,1597957272.386505,1597957272.386513
11,1597957272.59128,1597957272.591298
12,1597957272.795853,1597957272.795872
13,1597957273.000552,1597957273.000573
14,1597957273.210363,1597957273.210382
15,1597957273.409954,1597957273.409972
16,1597957273.61414,1597957273.614147
17,1597957273.819217,1597957273.819226
18,1597957274.023629,1597957274.023648
19,1597957274.228634,1597957274.228653
20,1597957274.433302,1597957274.433322
21,1597957274.638014,1597957274.638037
22,1597957274.842155,1597957274.842163
23,1597957275.047138,1597957275.047149
24,1597957275.251971,1597957275.25199
25,1597957275.456578,1597957275.456596
26,1597957275.661005,1597957275.661025
27,1597957275.865802,1597957275.86581
