id,server_rcv,server_send
1,1597957390.787457,1597957390.787476
2,1597957390.981852,1597957390.981871
3,1597957391.103364,1597957391.103371
4,1597957391.299,1597957391.29902
5,1597957391.504396,1597957391.504415
6,1597957391.70845,1597957391.708458
7,1597957391.863665,1597957391.863683
8,1597957392.015324,1597957392.015343
9,1597957392.220171,1597957392.220178
10,1597957392.342414,1597957392.342434
11,1597957392.527199,1597957392.527217
12,1597957392.731918,1597957392.731937
13,1597957392.936659,1597957392.936677
14,1597957393.14125,1597957393.141261
15,1597957393.345638,1597957393.345656
16,1597957393.550672,1597957393.550691
17,1597957393.755185,1597957393.755192
18,1597957393.959904,1597957393.959922
19,1597957394.164607,1597957394.164619
20,1597957394.369026,1597957394.369044
21,1597957394.579077,1597957394.579094
22,1597957394.778701,1597957394.778719
23,1597957394.983328,1597957394.983347
