id,server_rcv,server_send
1,1597957301.756639,1597957301.756659
2,1597957301.961522,1597957301.961542
3,1597957302.085059,1597957302.085066
4,1597957302.208354,1597957302.208373
5,1597957302.370599,1597957302.370616
6,1597957302.57517,1597957302.575188
7,1597957302.779983,1597957302.780002
8,1597957302.984661,1597957302.984679
9,1597957303.188999,1597957303.189018
10,1597957303.393608,1597957303.393633
11,1597957303.598159,1597957303.598166
12,1597957303.803297,1597957303.803305
13,1597957304.007895,1597957304.007917
14,1597957304.212617,1597957304.212635
15,1597957304.416898,1597957304.416908
16,1597957304.621996,1597957304.622016
17,1597957304.826687,1597957304.826706
18,1597957305.030973,1597957305.030992
19,1597957305.239472,1597957305.239494
20,1597957305.440267,1597957305.440276
21,1597957305.645324,1597957305.645343
22,1597957305.849818,1597957305.84984
23,1597957306.054183,1597957306.05419
24,1597957306.259296,1597957306.259315
