id,server_rcv,server_send
1,1597957900.825509,1597957900.825532
2,1597957901.028298,1597957901.028318
3,1597957901.233278,1597957901.233296
4,1597957901.437689,1597957901.437696
5,1597957901.637415,1597957901.637433
6,1597957901.842156,1597957901.842174
7,1597957902.046409,1597957902.046418
8,1597957902.169542,1597957902.169558
9,1597957902.291328,1597957902.291347
10,1597957902.455964,1597957902.455974
11,1597957902.660123,1597957902.660141
12,1597957902.865593,1597957902.865615
13,1597957903.069733,1597957903.069741
14,1597957903.274864,1597957903.274881
15,1597957903.479479,1597957903.479492
16,1597957903.685598,1597957903.685616
17,1597957903.88839,1597957903.888397
18,1597957904.093057,1597957904.093065
19,1597957904.29916,1597957904.299178
20,1597957904.502814,1597957904.502827
21,1597957904.707532,1597957904.70755
22,1597957904.856133,1597957904.85615
23,1597957905.014186,1597957905.014203
24,1597957905.219214,1597957905.21923
25,1597957905.423671,1597957905.42368
26,1597957905.628507,1597957905.628523
27,1597957905.833036,1597957905.833052
28,1597957906.03747,1597957906.037481
