id,server_rcv,server_send
1,1597957083.787374,1597957083.787384
2,1597957083.991754,1597957083.991771
3,1597957084.196754,1597957084.196771
4,1597957084.401439,1597957084.401457
5,1597957084.606059,1597957084.606077
6,1597957084.810743,1597957084.81076
7,1597957085.015081,1597957085.015098
8,1597957085.219995,1597957085.220012
9,1597957085.424758,1597957085.424776
10,1597957085.629428,1597957085.629446
11,1597957085.834089,1597957085.834107
12,1597957086.038227,1597957086.038235
13,1597957086.243132,1597957086.243149
14,1597957086.447961,1597957086.447979
15,1597957086.572722,1597957086.572744
16,1597957086.695623,1597957086.695641
17,1597957086.857083,1597957086.8571
18,1597957087.061606,1597957087.061614
19,1597957087.266688,1597957087.266705
20,1597957087.471242,1597957087.47126
21,1597957087.67601,1597957087.676042
22,1597957087.814778,1597957087.814786
23,1597957087.983185,1597957087.983203
24,1597957088.187602,1597957088.18762
25,1597957088.392397,1597957088.392415
26,1597957088.596542,1597957088.596549
27,1597957088.80131,1597957088.801322
28,1597957089.006044,1597957089.006061
29,1597957089.211062,1597957089.21108
30,1597957089.415713,1597957089.415731
31,1597957089.620351,1597957089.620369
32,1597957089.825063,1597957089.825083
33,1597957090.029276,1597957090.029283
34,1597957090.149958,1597957090.149973
35,1597957090.336367,1597957090.336387
