id,client_send,client_rcv
1,1604977009.547785,1604977009.852505
2,1604977009.852629,1604977010.047434
3,1604977010.04755,1604977010.252321
4,1604977010.252439,1604977010.648045
5,1604977010.64818,1604977010.947438
6,1604977010.947602,1604977011.147322
7,1604977011.147537,1604977011.467791
8,1604977011.467927,1604977011.747252
9,1604977011.747562,1604977011.947172
10,1604977011.947286,1604977012.147615
11,1604977012.147735,1604977012.347275
12,1604977012.3474,1604977012.552533
13,1604977012.552784,1604977012.752899
14,1604977012.75336,1604977012.947547
15,1604977012.947675,1604977013.147123
16,1604977013.147316,1604977013.347439
17,1604977013.347563,1604977013.552411
18,1604977013.552539,1604977013.952373
19,1604977013.952777,1604977014.14718
20,1604977014.147373,1604977014.347139
21,1604977014.347277,1604977014.543181
22,1604977014.543305,1604977014.752938
23,1604977014.847192,1604977015.047186
24,1604977015.0474,1604977015.362457
25,1604977015.362555,1604977015.647134
26,1604977015.64727,1604977016.054054
27,1604977016.054428,1604977016.38263
28,1604977016.382772,1604977016.647183
29,1604977016.647331,1604977016.852653
30,1604977016.852782,1604977017.047166
31,1604977017.047626,1604977017.247309
32,1604977017.253869,1604977017.412768
33,1604977017.412907,1604977017.647295
34,1604977017.647459,1604977017.852391
35,1604977017.852532,1604977018.057676
36,1604977018.057797,1604977018.427525
37,1604977018.427636,1604977018.647868
38,1604977018.648006,1604977018.847651
39,1604977018.847875,1604977019.05315
40,1604977019.152881,1604977019.452489
41,1604977019.45261,1604977019.757675
42,1604977019.847104,1604977020.147178
43,1604977020.152661,1604977020.477574
44,1604977020.477693,1604977020.84714
45,1604977020.851368,1604977021.147712
46,1604977021.149721,1604977021.350939
47,1604977021.351026,1604977021.547697
48,1604977021.547934,1604977021.847468
49,1604977021.847611,1604977022.147194
50,1604977022.147528,1604977022.35085
51,1604977022.350972,1604977022.552888
52,1604977022.553012,1604977022.947115
