id,client_send,client_rcv
1,1604976853.440049,1604976853.839874
2,1604976853.840086,1604976854.03968
3,1604976854.04447,1604976854.240978
4,1604976854.241319,1604976854.447954
5,1604976854.448535,1604976854.647189
6,1604976854.647441,1604976854.839949
7,1604976854.840479,1604976855.040891
8,1604976855.04316,1604976855.158952
9,1604976855.159103,1604976855.440231
10,1604976855.440363,1604976855.640037
11,1604976855.64102,1604976855.8396
12,1604976855.840952,1604976856.234115
13,1604976856.234251,1604976856.440023
14,1604976856.440155,1604976856.64436
15,1604976856.644474,1604976856.939446
16,1604976856.944971,1604976857.253987
17,1604976857.254116,1604976857.539606
18,1604976857.540114,1604976857.939501
19,1604976857.939633,1604976858.139661
20,1604976858.14035,1604976858.34464
21,1604976858.344756,1604976858.544732
22,1604976858.544857,1604976858.73951
23,1604976858.740485,1604976858.950613
24,1604976858.950751,1604976859.146541
25,1604976859.146683,1604976859.33979
26,1604976859.33995,1604976859.54006
27,1604976859.540179,1604976859.739977
28,1604976859.740813,1604976859.945381
