id,client_send,client_rcv
1,1604979742.523759,1604979742.823858
2,1604979742.824104,1604979743.129033
3,1604979743.129138,1604979743.328746
4,1604979743.328859,1604979743.453388
5,1604979743.453483,1604979743.623943
6,1604979743.62472,1604979743.923566
7,1604979743.923689,1604979744.123583
8,1604979744.123742,1604979744.323701
9,1604979744.323836,1604979744.533367
10,1604979744.533486,1604979744.823691
11,1604979744.823929,1604979745.224226
12,1604979745.224522,1604979745.553429
13,1604979745.553544,1604979745.923844
14,1604979745.924022,1604979746.22867
15,1604979746.228942,1604979746.423712
16,1604979746.424719,1604979746.628995
17,1604979746.724378,1604979747.024249
18,1604979747.024805,1604979747.223745
19,1604979747.224134,1604979747.42388
20,1604979747.423995,1604979747.54101
21,1604979747.541119,1604979747.829324
22,1604979747.830121,1604979748.023981
23,1604979748.024154,1604979748.32354
24,1604979748.324516,1604979748.626044
25,1604979748.626184,1604979748.823589
26,1604979748.823698,1604979749.123696
27,1604979749.123838,1604979749.32901
28,1604979749.329579,1604979749.649352
29,1604979749.649474,1604979749.923583
30,1604979749.924054,1604979750.12978
31,1604979750.13009,1604979750.3236
32,1604979750.324056,1604979750.469365
33,1604979750.469484,1604979750.723675
34,1604979750.723828,1604979750.923638
35,1604979750.923749,1604979751.123583
36,1604979751.12374,1604979751.323975
37,1604979751.32411,1604979751.493417
38,1604979751.493532,1604979751.729252
39,1604979751.729381,1604979752.12361
40,1604979752.123725,1604979752.323596
