id,client_send,client_rcv
1,1604980047.653316,1604980047.852412
2,1604980047.852809,1604980048.047634
3,1604980048.047854,1604980048.347544
4,1604980048.347657,1604980048.658161
5,1604980048.658265,1604980048.85266
6,1604980048.852794,1604980049.147233
7,1604980049.147345,1604980049.486291
8,1604980049.486665,1604980049.752359
9,1604980049.75273,1604980049.948107
10,1604980049.948385,1604980050.147471
11,1604980050.147579,1604980050.447427
12,1604980050.448791,1604980050.747095
13,1604980050.747211,1604980050.95248
14,1604980050.952581,1604980051.347389
15,1604980051.347559,1604980051.527201
16,1604980051.527392,1604980051.752304
17,1604980051.752426,1604980051.947085
18,1604980051.947248,1604980052.152697
19,1604980052.152814,1604980052.54728
20,1604980052.547399,1604980052.852645
21,1604980052.85372,1604980053.047469
22,1604980053.047582,1604980053.447215
23,1604980053.447494,1604980053.847161
24,1604980053.847742,1604980054.047354
25,1604980054.047499,1604980054.247461
26,1604980054.247603,1604980054.447163
27,1604980054.447483,1604980054.601529
28,1604980054.601645,1604980054.947177
29,1604980054.947378,1604980055.347516
30,1604980055.347732,1604980055.624603
31,1604980055.62472,1604980055.847352
32,1604980055.847537,1604980056.047479
33,1604980056.047618,1604980056.252606
34,1604980056.353618,1604980056.648994
35,1604980056.649132,1604980056.947908
36,1604980056.948174,1604980057.347367
37,1604980057.347481,1604980057.666879
38,1604980057.666995,1604980057.952792
39,1604980057.952935,1604980058.347555
40,1604980058.347759,1604980058.488587
41,1604980058.488728,1604980058.753247
42,1604980058.753401,1604980058.953163
43,1604980058.953509,1604980059.347076
44,1604980059.352517,1604980059.513283
45,1604980059.513408,1604980059.747722
46,1604980059.747868,1604980060.047132
47,1604980060.047426,1604980060.447567
48,1604980060.448019,1604980060.7474
49,1604980060.747896,1604980060.95277
50,1604980060.952878,1604980061.44733
51,1604980061.447447,1604980061.764885
52,1604980061.765001,1604980062.047129
53,1604980062.047283,1604980062.447309
54,1604980062.449437,1604980062.597531
55,1604980062.597687,1604980062.747556
56,1604980062.747992,1604980062.947128
57,1604980062.948532,1604980063.347078
58,1604980063.347337,1604980063.614962
59,1604980063.615083,1604980063.947293
60,1604980063.94744,1604980064.25297
