id,client_send,client_rcv
1,1604981350.801455,1604981350.989841
2,1604981350.989957,1604981351.195167
3,1604981351.195354,1604981351.400995
4,1604981351.401145,1604981351.530051
5,1604981351.535551,1604981351.660267
6,1604981351.660384,1604981351.795108
7,1604981351.795231,1604981352.016569
8,1604981352.02219,1604981352.221166
9,1604981352.221864,1604981352.425142
10,1604981352.426006,1604981352.624846
11,1604981352.624979,1604981352.83534
12,1604981352.835502,1604981353.036152
13,1604981353.036324,1604981353.246654
14,1604981353.247118,1604981353.451225
15,1604981353.451327,1604981353.649911
16,1604981353.650021,1604981353.860761
17,1604981353.860886,1604981354.065733
18,1604981354.066014,1604981354.265107
19,1604981354.265361,1604981354.47948
20,1604981354.479596,1604981354.67078
21,1604981354.671097,1604981354.885107
22,1604981354.885211,1604981355.049933
23,1604981355.050158,1604981355.30056
24,1604981355.300694,1604981355.502462
25,1604981355.502572,1604981355.699914
