id,client_send,client_rcv
1,1604977088.629589,1604977088.929223
2,1604977088.929451,1604977089.129339
3,1604977089.129547,1604977089.329265
4,1604977089.329432,1604977089.529647
5,1604977089.530283,1604977089.734635
6,1604977089.734942,1604977089.929326
7,1604977089.92947,1604977090.12941
8,1604977090.129689,1604977090.322526
9,1604977090.322655,1604977090.535209
10,1604977090.53541,1604977090.829198
11,1604977090.829516,1604977091.029884
12,1604977091.030606,1604977091.229258
13,1604977091.229511,1604977091.547525
14,1604977091.547652,1604977091.834517
15,1604977091.834705,1604977092.229276
16,1604977092.230042,1604977092.567482
17,1604977092.567647,1604977092.829283
18,1604977092.831077,1604977093.029556
19,1604977093.029745,1604977093.22934
20,1604977093.231956,1604977093.38751
21,1604977093.387626,1604977093.629582
22,1604977093.630806,1604977093.835692
23,1604977093.929375,1604977094.232656
24,1604977094.232858,1604977094.429454
25,1604977094.435215,1604977094.834568
26,1604977094.834701,1604977095.038139
27,1604977095.03862,1604977095.237553
28,1604977095.237694,1604977095.534448
29,1604977095.534914,1604977095.934787
30,1604977095.935079,1604977096.257529
31,1604977096.257659,1604977096.530086
32,1604977096.530258,1604977096.729258
33,1604977096.730499,1604977096.930822
34,1604977096.931245,1604977097.129284
35,1604977097.130624,1604977097.28247
36,1604977097.282694,1604977097.529332
37,1604977097.529468,1604977097.729798
38,1604977097.730028,1604977097.929246
39,1604977097.929411,1604977098.129359
40,1604977098.129504,1604977098.307747
41,1604977098.307938,1604977098.53551
42,1604977098.535816,1604977098.72923
43,1604977098.729358,1604977098.939474
44,1604977098.939612,1604977099.13851
45,1604977099.13924,1604977099.327625
46,1604977099.327763,1604977099.629408
47,1604977099.629526,1604977099.834526
48,1604977099.834652,1604977100.029637
49,1604977100.031475,1604977100.352668
50,1604977100.352811,1604977100.629562
51,1604977100.629702,1604977100.829597
52,1604977100.829748,1604977101.034568
53,1604977101.035186,1604977101.229254
54,1604977101.230729,1604977101.372766
55,1604977101.372908,1604977101.634549
56,1604977101.635192,1604977102.029352
57,1604977102.030644,1604977102.229368
58,1604977102.232511,1604977102.362695
59,1604977102.362821,1604977102.634728
60,1604977102.634845,1604977102.829392
61,1604977102.829518,1604977103.035221
62,1604977103.035586,1604977103.233273
63,1604977103.23337,1604977103.432914
64,1604977103.433046,1604977103.729244
65,1604977103.72939,1604977103.935336
66,1604977103.93564,1604977104.252443
67,1604977104.252593,1604977104.529596
68,1604977104.535199,1604977104.929379
69,1604977104.929571,1604977105.262767
70,1604977105.262948,1604977105.534633
71,1604977105.535577,1604977105.929502
72,1604977105.929643,1604977106.134678
73,1604977106.134807,1604977106.492621
74,1604977106.492765,1604977106.73478
75,1604977106.735155,1604977106.929226
76,1604977106.929536,1604977107.129524
77,1604977107.129968,1604977107.312719
78,1604977107.31289,1604977107.534712
