id,client_send,client_rcv
1,1604975434.129363,1604975434.330285
2,1604975434.330423,1604975434.623497
3,1604975434.623676,1604975434.91359
4,1604975434.91371,1604975435.124478
5,1604975435.124585,1604975435.425408
6,1604975435.425536,1604975435.734419
7,1604975435.734612,1604975436.024305
8,1604975436.024901,1604975436.438252
9,1604975436.438553,1604975436.758879
10,1604975436.759023,1604975437.224041
11,1604975437.224711,1604975437.423486
12,1604975437.42376,1604975437.724015
13,1604975437.724162,1604975438.023572
14,1604975438.024741,1604975438.229092
15,1604975438.231384,1604975438.428674
16,1604975438.428815,1604975438.623534
17,1604975438.624035,1604975438.803892
18,1604975438.804073,1604975439.023736
19,1604975439.02388,1604975439.228786
20,1604975439.22903,1604975439.424002
21,1604975439.424967,1604975439.629937
22,1604975439.630134,1604975439.847594
23,1604975439.847734,1604975440.024017
24,1604975440.024173,1604975440.329085
25,1604975440.334723,1604975440.724025
26,1604975440.724182,1604975441.095068
27,1604975441.095443,1604975441.329075
28,1604975441.329198,1604975441.726275
29,1604975441.72638,1604975441.924002
30,1604975441.924125,1604975442.129139
31,1604975442.129548,1604975442.323758
32,1604975442.324068,1604975442.530128
33,1604975442.530242,1604975442.725533
34,1604975442.725622,1604975442.923843
35,1604975442.923968,1604975443.124024
36,1604975443.124136,1604975443.323515
37,1604975443.32905,1604975443.623811
38,1604975443.623985,1604975443.922721
39,1604975443.922857,1604975444.224468
40,1604975444.22462,1604975444.623707
41,1604975444.623928,1604975444.952586
42,1604975444.952708,1604975445.128693
43,1604975445.128823,1604975445.423651
44,1604975445.423798,1604975445.623985
45,1604975445.624148,1604975445.742633
46,1604975445.742769,1604975446.023552
47,1604975446.023726,1604975446.226965
48,1604975446.227107,1604975446.423597
49,1604975446.428483,1604975446.628029
50,1604975446.629669,1604975446.792982
51,1604975446.793088,1604975447.226259
52,1604975447.226385,1604975447.423677
53,1604975447.424111,1604975447.625484
54,1604975447.626954,1604975447.817619
55,1604975447.817752,1604975448.031325
56,1604975448.032143,1604975448.323507
57,1604975448.324805,1604975448.723486
58,1604975448.724194,1604975448.959127
59,1604975448.959538,1604975449.323464
60,1604975449.32361,1604975449.523565
61,1604975449.523694,1604975449.823646
62,1604975449.82385,1604975450.029113
63,1604975450.029239,1604975450.328831
64,1604975450.32897,1604975450.523534
65,1604975450.523959,1604975450.724289
