id,client_send,client_rcv
1,1604974557.123681,1604974557.323611
2,1604974557.323756,1604974557.623531
3,1604974557.623791,1604974557.958466
4,1604974557.958619,1604974558.223562
5,1604974558.224145,1604974558.523436
6,1604974558.529535,1604974558.723611
7,1604974558.723829,1604974558.923711
8,1604974558.924492,1604974559.323501
9,1604974559.323687,1604974559.723563
10,1604974559.724064,1604974560.007839
11,1604974560.007972,1604974560.323999
12,1604974560.324332,1604974560.62467
13,1604974560.624818,1604974560.923486
14,1604974560.92421,1604974561.237805
15,1604974561.237963,1604974561.528868
16,1604974561.529157,1604974561.723561
17,1604974561.723686,1604974562.057604
18,1604974562.057749,1604974562.423696
19,1604974562.424049,1604974562.728669
20,1604974562.728995,1604974562.925504
21,1604974562.927528,1604974563.224153
22,1604974563.22449,1604974563.523667
23,1604974563.523778,1604974563.72361
24,1604974563.724509,1604974563.923739
25,1604974563.923867,1604974564.102547
26,1604974564.102683,1604974564.523658
27,1604974564.523825,1604974564.723515
28,1604974564.729364,1604974565.12816
29,1604974565.128282,1604974565.429045
30,1604974565.429204,1604974565.824127
31,1604974565.824417,1604974566.152584
32,1604974566.152725,1604974566.623624
33,1604974566.623765,1604974566.82474
34,1604974566.824888,1604974566.97022
35,1604974566.970377,1604974567.229024
36,1604974567.234785,1604974567.423483
37,1604974567.428917,1604974567.723484
38,1604974567.724018,1604974567.923465
39,1604974567.923706,1604974568.099161
40,1604974568.099507,1604974568.323492
41,1604974568.32416,1604974568.634009
42,1604974568.634128,1604974568.923568
43,1604974568.924057,1604974569.044681
44,1604974569.044788,1604974569.230698
45,1604974569.23115,1604974569.523451
46,1604974569.523831,1604974569.723649
47,1604974569.723906,1604974570.043458
48,1604974570.043591,1604974570.323615
49,1604974570.323741,1604974570.728853
50,1604974570.728986,1604974570.923903
51,1604974570.924049,1604974571.067619
52,1604974571.067751,1604974571.323569
53,1604974571.323731,1604974571.528721
54,1604974571.528941,1604974571.729519
55,1604974571.729708,1604974571.925742
56,1604974571.925875,1604974572.157816
57,1604974572.157992,1604974572.329069
58,1604974572.329593,1604974572.823434
59,1604974572.823595,1604974573.112709
60,1604974573.112831,1604974573.624283
61,1604974573.624429,1604974573.929323
62,1604974573.929474,1604974574.228782
63,1604974574.228974,1604974574.629198
