id,client_send,client_rcv
1,1604981415.358938,1604981415.558719
2,1604981415.558844,1604981415.90905
3,1604981415.909181,1604981416.158795
4,1604981416.16486,1604981416.358659
5,1604981416.35878,1604981416.558647
6,1604981416.558762,1604981416.758817
7,1604981416.75938,1604981416.930788
8,1604981416.930915,1604981417.258975
9,1604981417.259426,1604981417.563752
10,1604981417.563881,1604981417.764011
11,1604981417.764218,1604981418.160939
12,1604981418.161068,1604981418.458708
13,1604981418.459049,1604981418.859938
14,1604981418.860109,1604981419.358646
15,1604981419.358806,1604981419.65889
16,1604981419.659016,1604981419.858683
17,1604981419.858999,1604981419.979625
18,1604981419.979845,1604981420.264305
19,1604981420.264418,1604981420.658628
20,1604981420.658851,1604981420.860359
21,1604981420.860442,1604981421.058803
22,1604981421.058919,1604981421.264222
23,1604981421.264567,1604981421.458731
24,1604981421.458852,1604981421.658649
25,1604981421.658915,1604981421.858687
26,1604981421.858868,1604981422.255752
27,1604981422.25587,1604981422.464719
28,1604981422.558768,1604981422.866303
29,1604981422.866418,1604981423.158719
30,1604981423.158882,1604981423.658672
31,1604981423.658981,1604981423.858742
32,1604981423.860214,1604981424.063829
33,1604981424.063953,1604981424.358709
34,1604981424.358828,1604981424.564146
35,1604981424.564333,1604981424.758657
36,1604981424.758841,1604981424.91455
37,1604981424.914741,1604981425.163997
