id,client_send,client_rcv
1,1604978420.55095,1604978420.752
2,1604978420.752566,1604978421.244837
3,1604978421.245529,1604978421.519291
4,1604978421.51941,1604978421.750961
5,1604978421.751143,1604978421.950935
6,1604978421.951158,1604978422.145194
7,1604978422.145797,1604978422.345187
8,1604978422.345323,1604978422.549513
9,1604978422.549643,1604978423.04489
10,1604978423.045019,1604978423.363074
11,1604978423.363247,1604978423.645094
12,1604978423.645611,1604978424.045057
13,1604978424.045355,1604978424.245067
14,1604978424.245409,1604978424.383076
15,1604978424.38321,1604978424.644903
16,1604978424.645149,1604978424.944986
17,1604978424.945766,1604978425.244826
18,1604978425.245375,1604978425.40899
19,1604978425.409181,1604978425.650422
20,1604978425.650715,1604978425.845067
21,1604978425.845627,1604978426.045311
22,1604978426.045528,1604978426.245482
23,1604978426.245647,1604978426.435216
24,1604978426.435342,1604978426.650183
25,1604978426.650298,1604978426.845027
26,1604978426.850414,1604978427.045103
27,1604978427.050909,1604978427.45937
28,1604978427.459573,1604978427.745005
29,1604978427.745146,1604978428.150025
30,1604978428.150745,1604978428.482845
31,1604978428.482958,1604978428.744744
32,1604978428.745091,1604978428.949952
33,1604978428.950063,1604978429.144815
34,1604978429.144957,1604978429.347017
