id,client_send,client_rcv
1,1604978758.023941,1604978758.223588
2,1604978758.223743,1604978758.624635
3,1604978758.624803,1604978758.823749
4,1604978758.823872,1604978759.017646
5,1604978759.017798,1604978759.223657
6,1604978759.223764,1604978759.429082
7,1604978759.52355,1604978759.92374
8,1604978759.924024,1604978760.124615
9,1604978760.124969,1604978760.328821
10,1604978760.423553,1604978760.623574
11,1604978760.623692,1604978760.923586
12,1604978760.92386,1604978761.12357
13,1604978761.123676,1604978761.324092
14,1604978761.324332,1604978761.528954
15,1604978761.529088,1604978761.723724
16,1604978761.723872,1604978761.92685
17,1604978761.926925,1604978762.123774
18,1604978762.12396,1604978762.3236
19,1604978762.32372,1604978762.524514
20,1604978762.524895,1604978762.723598
21,1604978762.723954,1604978762.923567
22,1604978762.928774,1604978763.22384
23,1604978763.22398,1604978763.623682
24,1604978763.623854,1604978763.943774
